stage,provider,model,prompt_token,completion_token,total_token
INITIAL_EXECUTION,openai,gpt-4o-mini,26,112,138
INITIAL_EXECUTION,google,gemini-2.5-flash-lite,19,119,138
INITIAL_EXECUTION,anthropic,claude-haiku-4-5-20251001,24,132,156
INITIAL_EXECUTION,nvidia,nvidia/nemotron-3-super-120b-a12b,34,142,176
INITIAL_EXECUTION,meta,meta/llama-4-maverick-17b-128e-instruct,30,119,149
INITIAL_EXECUTION,mistral,mistral-small-latest,35,114,149
CONSENSUS_SYNTHESIS,openai,gpt-4o-mini,846,118,964
CONSENSUS_SYNTHESIS,google,gemini-2.5-flash-lite,895,119,1014
CONSENSUS_SYNTHESIS,anthropic,claude-haiku-4-5-20251001,908,196,1104
CONSENSUS_SYNTHESIS,nvidia,nvidia/nemotron-3-super-120b-a12b,881,119,1000
CONSENSUS_SYNTHESIS,meta,meta/llama-4-maverick-17b-128e-instruct,848,92,940
CONSENSUS_SYNTHESIS,mistral,mistral-small-latest,882,129,1011
SCORING_COMBINED,openai,gpt-4o-mini,1154,245,1399
SCORING_COMBINED,google,gemini-2.5-flash-lite,1218,280,1498
SCORING_COMBINED,anthropic,claude-haiku-4-5-20251001,1261,251,1512
SCORING_COMBINED,nvidia,nvidia/nemotron-3-super-120b-a12b,1196,271,1467
SCORING_COMBINED,meta,meta/llama-4-maverick-17b-128e-instruct,1156,249,1405
SCORING_COMBINED,mistral,mistral-small-latest,1198,278,1476
